run_name,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
mba2010-08-30-3,64.0,-53.0,3
mba2010-08-30-4,64.0,-59.0,4
mba2010-08-30-5,64.0,-59.0,4
mba2010-08-30-6,64.0,-59.0,4
mba2010-08-30-7,64.0,-59.0,4
mba2010-08-30-8,64.0,-59.0,4
mba2010-08-30-9,64.0,-59.0,4
mba2010-08-30-10,64.0,-45.5,3
mba2010-08-26-6,62.0,-58.0,3
mba2010-08-26-7,62.0,-58.0,3
mba2010-08-26-8,62.0,-58.0,3
mba2010-08-26-9,62.0,-58.0,3
mba2010-08-26-10,62.0,-58.0,3
mba2010-08-26-11,62.0,-59.5,3
mba2010-08-26-16,62.0,-59.5,3
mba2010-08-26-12,62.0,-61.0,4
mba2010-08-26-13,62.0,-61.0,4
mba2010-08-26-14,62.0,-61.0,4
mba2010-08-26-15,62.0,-61.0,4
mba2010-08-26-17,62.0,-61.0,4
mba2010-08-26-18,62.0,-61.0,4
mba2010-08-26-19,62.0,-61.0,4
mba2010-08-26-20,62.0,-61.0,4
mba2010-08-26-21,62.0,-50.5,3
