run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
dga2016-01-12-41,,NON_FIDUCIAL,,,,,60.0,1
dga2016-01-12-42,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-56,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-67,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-73,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-74,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-75,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-76,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-79,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,39.0,3
dga2016-01-12-43,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,60.0,4
dga2016-01-12-45,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,60.0,4
dga2016-01-12-46,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,60.0,4
dga2016-01-12-48,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,60.0,4
dga2016-01-12-52,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,60.0,4
dga2016-01-12-49,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,30.0,3
dga2016-01-12-82,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,30.0,3
dga2016-01-12-57,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,43.5,3
dga2016-01-12-59,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,21.0,3
dga2016-01-12-60,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,21.0,3
dga2016-01-12-61,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,21.0,3
dga2016-01-12-63,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,42.0,3
dga2016-01-12-64,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,42.0,3
dga2016-01-12-65,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,42.0,3
dga2016-01-12-66,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,42.0,3
dga2016-01-12-68,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,51.0,3
dga2016-01-12-70,RAPTOR,FIDUCIAL,WBP,IMOD,16.8,RAPTOR,51.0,3
