run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2017-08-08-1,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-2,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-3,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-4,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-5,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-6,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-7,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-8,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-9,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-10,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-11,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-12,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-13,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-14,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-15,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-16,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-17,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-18,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-19,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-20,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-21,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-22,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-23,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-24,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-25,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-26,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-27,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-28,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-29,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-30,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-31,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
