run_name,tomo-voxel_spacing,ts-tilt_series_path
mba2011-03-02-1,7.74,rawdata/11mar02a_WTMinicells_024.st
mba2011-03-02-2,7.74,rawdata/11mar02a_WTMinicells_013.st
mba2011-03-02-3,15.48,rawdata/11mar02a_WTMinicells_017.st
mba2011-03-02-4,7.74,rawdata/11mar02a_WTMinicells_025.st
mba2011-03-02-5,7.74,rawdata/11mar02a_WTMinicells_026.st
mba2011-03-02-6,7.74,rawdata/11mar02a_WTMinicells_027.st
mba2011-03-02-7,7.74,rawdata/11mar02a_WTMinicells_029.st
mba2011-03-02-8,7.74,rawdata/11mar02a_WTMinicells_030.st
mba2011-03-02-9,7.74,rawdata/11mar02a_WTMinicells_033.st
mba2011-03-02-10,7.74,rawdata/11mar02a_WTMinicells_037.st
mba2011-03-02-11,7.74,rawdata/11mar02a_WTMinicells_040.st
mba2011-03-02-12,7.74,rawdata/11mar02a_WTMinicells_043.st
