run_name,tomo-align_software,ts-tilt_alignment_software
psa2014-12-20-10,RAPTOR,RAPTOR
psa2014-12-20-11,RAPTOR,RAPTOR
psa2014-12-20-12,RAPTOR,RAPTOR
psa2014-12-20-14,RAPTOR,RAPTOR
psa2014-12-20-15,RAPTOR,RAPTOR
psa2014-12-20-16,RAPTOR,RAPTOR
psa2014-12-20-17,RAPTOR,RAPTOR
psa2014-12-20-19,RAPTOR,RAPTOR
psa2014-12-20-20,RAPTOR,RAPTOR
psa2014-12-20-22,RAPTOR,RAPTOR
psa2014-12-20-24,RAPTOR,RAPTOR
psa2014-12-20-25,RAPTOR,RAPTOR
psa2014-12-20-27,RAPTOR,RAPTOR
psa2014-12-20-28,RAPTOR,RAPTOR
psa2014-12-20-29,RAPTOR,RAPTOR
psa2014-12-20-30,RAPTOR,RAPTOR
psa2014-12-20-31,RAPTOR,RAPTOR
psa2014-12-20-32,RAPTOR,RAPTOR
psa2014-12-20-13,Batchruntomo,Batchruntomo
psa2014-12-20-18,Batchruntomo,Batchruntomo
psa2014-12-20-21,Batchruntomo,Batchruntomo
psa2014-12-20-23,Batchruntomo,Batchruntomo
psa2014-12-20-26,Batchruntomo,Batchruntomo
