run_name,ts-tilt_range-min
mba2011-03-25-1,-56.0
mba2011-03-25-7,-56.0
mba2011-03-25-2,-46.0
mba2011-03-25-3,-64.0
mba2011-03-25-4,-59.0
mba2011-03-25-5,-55.0
mba2011-03-25-6,-65.0
mba2011-03-25-8,-47.0
mba2011-03-25-9,-47.0
