run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path,ts-tilt_series_quality
ycw2017-12-01-1,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10001.mrc,4
ycw2017-12-01-2,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10002.mrc,4
ycw2017-12-01-3,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10003.mrc,4
ycw2017-12-01-4,,NON_FIDUCIAL,None,None,,,rawdata/20171201_YWC266_10005.mrc,1
ycw2017-12-01-5,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10006.mrc,4
ycw2017-12-01-6,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10007.mrc,4
ycw2017-12-01-8,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10009.mrc,4
ycw2017-12-01-9,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10010.mrc,4
ycw2017-12-01-10,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10011.mrc,4
ycw2017-12-01-11,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10012.mrc,4
ycw2017-12-01-12,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10013.mrc,4
ycw2017-12-01-13,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10014.mrc,4
ycw2017-12-01-14,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10015.mrc,4
ycw2017-12-01-16,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10017.mrc,4
ycw2017-12-01-17,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10018.mrc,4
ycw2017-12-01-18,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10019.mrc,4
ycw2017-12-01-20,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10021.mrc,4
ycw2017-12-01-21,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10022.mrc,4
ycw2017-12-01-23,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10024.mrc,4
ycw2017-12-01-24,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10025.mrc,4
ycw2017-12-01-25,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10026.mrc,4
ycw2017-12-01-26,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10027.mrc,4
ycw2017-12-01-27,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10028.mrc,4
ycw2017-12-01-29,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10030.mrc,4
ycw2017-12-01-30,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10031.mrc,4
ycw2017-12-01-31,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10032.mrc,4
ycw2017-12-01-32,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10033.mrc,4
ycw2017-12-01-33,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10034.mrc,4
ycw2017-12-01-34,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10035.mrc,4
ycw2017-12-01-35,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10036.mrc,4
ycw2017-12-01-36,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/20171201_YWC266_10037.mrc,4
