run_name,frame_dose_rate,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_step
dga2016-09-09-70,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-71,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-72,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-73,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-74,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-75,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-76,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-77,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-78,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-79,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-80,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-81,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-82,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-83,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-84,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-85,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
dga2016-09-09-86,1.6049382716049383,TOMO3D,tomo3D,SIRT,TOMO3D,16.145,TOMO3D,1.5
