run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
dga2017-09-05-2,32.0,3.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,32.0,3
dga2017-09-05-3,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-5,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-7,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-11,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-12,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-13,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-23,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-24,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-25,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-26,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-27,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-28,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-29,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-30,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-31,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-32,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-33,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-34,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-35,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-36,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-37,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-46,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-47,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-49,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-56,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-66,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-70,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-72,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-77,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-83,60.0,1.0,,NON_FIDUCIAL,,,,,60.0,1
dga2017-09-05-84,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-90,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-91,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-92,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-93,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-94,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-95,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-96,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-97,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-05-98,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-1,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-2,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-3,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-4,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-5,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-6,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-7,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-8,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-9,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-10,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-11,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-12,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-13,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-14,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-15,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-16,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-17,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-18,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-19,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-20,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-21,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-22,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-23,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-24,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-25,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-26,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-27,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-28,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-29,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-30,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-31,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-32,60.0,1.0,,NON_FIDUCIAL,,,,,60.0,1
dga2017-10-31-33,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-34,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-35,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-36,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-37,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-38,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-39,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-10-31-40,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
