run_name,tomo-align_softwares,ts-tilt_alignment_software
aba2015-02-23-37,['RAPTOR'],RAPTOR
aba2015-02-23-38,['RAPTOR'],RAPTOR
aba2015-02-23-39,['RAPTOR'],RAPTOR
aba2015-02-23-40,['RAPTOR'],RAPTOR
aba2015-02-23-41,['RAPTOR'],RAPTOR
aba2015-02-23-43,['RAPTOR'],RAPTOR
aba2015-02-23-42,['Batchruntomo'],Batchruntomo
