run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-data_acquisition_software,ts-tilt_alignment_software,ts-tilting_scheme
dga2016-01-12-1,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-4,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-5,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-6,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-7,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-12,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-17,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-18,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-19,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-20,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-21,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-22,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-23,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-24,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-25,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-26,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-30,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-33,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-34,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-2,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-4,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-8,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-11,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-13,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-15,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-17,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-20,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-21,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-22,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-26,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-28,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-29,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-30,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-31,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-33,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-34,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-36,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-38,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-41,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-45,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-47,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-49,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-50,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-51,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-58,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-59,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-61,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-62,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-65,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-66,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-70,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-74,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-79,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-81,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-03-31-84,TOMO3D,tomo3D,SIRT,TOMO3D,UCSFTomo,TOMO3D,starting tilt to max then min
dga2016-01-12-2,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-3,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-9,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-10,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-13,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-14,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-16,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-29,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-31,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-32,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-1,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-5,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-6,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-9,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-14,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-19,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-25,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-32,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-37,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-40,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-44,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-46,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-53,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-57,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-67,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-72,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-76,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-77,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-03-31-86,RAPTOR,,WBP,IMOD,UCSFTomo,RAPTOR,starting tilt to max then min
dga2016-01-12-11,RAPTOR,,WBP,IMOD,Undefined,RAPTOR,min to max tilt
dga2016-03-31-27,RAPTOR,,WBP,IMOD,Undefined,RAPTOR,min to max tilt
dga2016-01-12-38,TOMO3D,tomo3D,SIRT,TOMO3D,Undefined,TOMO3D,min to max tilt
