run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
mka2019-09-21-1,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-2,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-4,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-5,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-7,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-8,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-9,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-10,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-11,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-12,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-13,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-14,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-15,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-16,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-17,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-20,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-21,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-22,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-23,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-24,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-25,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-26,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-27,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-28,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-29,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-30,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-31,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-32,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-33,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-34,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-35,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-36,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-37,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-38,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-39,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-40,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-41,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-42,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-43,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-44,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-45,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-46,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-47,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-48,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-49,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-50,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-51,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-52,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-53,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-55,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-56,50.0,1.0,,NON_FIDUCIAL,,,,,,50.0,1
mka2019-09-21-57,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-58,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-59,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-60,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-61,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-62,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-63,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-64,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-65,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
mka2019-09-21-66,50.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,50.0,4
