run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
jsa2009-12-29-1,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-2,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-4,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-5,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-6,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-7,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-8,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-9,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-10,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-11,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-12,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-13,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-14,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-15,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-16,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-17,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-18,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-19,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-20,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-21,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-22,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-23,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-24,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-25,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-26,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-27,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-28,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-29,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-30,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-31,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-32,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-33,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,4
jsa2009-12-29-3,1.0,,NON_FIDUCIAL,,,,,1
