run_name,frame_dose_rate,tilt_series_tilt_step,ts-tilt_step
ycw2013-01-03-1,0.819672131147541,1.0,1.0
ycw2013-01-03-2,0.819672131147541,1.0,1.0
ycw2013-01-03-4,0.819672131147541,1.0,1.0
ycw2013-01-03-5,0.819672131147541,1.0,1.0
ycw2013-01-03-6,0.819672131147541,1.0,1.0
ycw2013-01-03-7,0.819672131147541,1.0,1.0
ycw2013-01-03-8,0.819672131147541,1.0,1.0
ycw2013-01-03-9,0.819672131147541,1.0,1.0
ycw2013-01-03-28,0.819672131147541,1.0,1.0
ycw2013-01-03-11,1.2195121951219512,1.5,1.5
ycw2013-01-03-12,1.2195121951219512,1.5,1.5
ycw2013-01-03-14,1.2195121951219512,1.5,1.5
ycw2013-01-03-15,1.2195121951219512,1.5,1.5
ycw2013-01-03-16,1.2195121951219512,1.5,1.5
ycw2013-01-03-17,1.2195121951219512,1.5,1.5
ycw2013-01-03-18,1.2195121951219512,1.5,1.5
ycw2013-01-03-19,1.2195121951219512,1.5,1.5
ycw2013-01-03-20,1.2195121951219512,1.5,1.5
ycw2013-01-03-21,1.2195121951219512,1.5,1.5
ycw2013-01-03-22,1.2195121951219512,1.5,1.5
ycw2013-01-03-23,1.2195121951219512,1.5,1.5
ycw2013-01-03-24,1.2195121951219512,1.5,1.5
ycw2013-01-03-25,1.2195121951219512,1.5,1.5
ycw2013-01-03-26,1.2195121951219512,1.5,1.5
ycw2013-01-03-27,1.2195121951219512,1.5,1.5
