run_name,tomo-align_software,ts-tilt_alignment_software,ts-tilt_range-min
mba2011-03-24-1,IMOD,IMOD,-63.0
mba2011-03-24-2,IMOD,IMOD,-54.0
mba2011-03-24-3,IMOD,IMOD,-50.0
mba2011-03-24-10,IMOD,IMOD,-50.0
mba2011-03-24-15,IMOD,IMOD,-50.0
mba2011-03-24-4,IMOD,IMOD,-57.0
mba2011-03-24-13,IMOD,IMOD,-57.0
mba2011-03-24-20,IMOD,IMOD,-57.0
mba2011-03-24-5,IMOD,IMOD,-62.0
mba2011-03-24-6,IMOD,IMOD,-62.0
mba2011-03-24-7,IMOD,IMOD,-62.0
mba2011-03-24-8,IMOD,IMOD,-59.0
mba2011-03-24-9,RAPTOR,RAPTOR,-62.0
mba2011-03-24-11,IMOD,IMOD,-68.0
mba2011-03-24-12,IMOD,IMOD,-64.0
mba2011-03-24-14,IMOD,IMOD,-60.0
mba2011-03-24-16,IMOD,IMOD,-58.0
mba2011-03-24-17,IMOD,IMOD,-51.0
mba2011-03-24-19,IMOD,IMOD,-51.0
mba2011-03-24-21,IMOD,IMOD,-51.0
mba2011-03-24-18,RAPTOR,RAPTOR,-51.0
