run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-processing_software,ts-tilt_range-max
mka2019-11-19-98,60.0,4.0,IMOD,60.0
mka2019-11-19-99,60.0,4.0,IMOD,60.0
mka2019-11-19-100,60.0,4.0,IMOD,60.0
mka2019-11-19-101,60.0,4.0,IMOD,60.0
mka2019-11-19-102,60.0,4.0,IMOD,60.0
mka2019-11-19-103,60.0,4.0,IMOD,60.0
mka2019-11-19-104,60.0,4.0,IMOD,60.0
mka2019-11-19-105,60.0,4.0,IMOD,60.0
mka2019-11-19-106,60.0,4.0,IMOD,60.0
mka2019-11-19-107,60.0,4.0,IMOD,60.0
mka2019-11-19-108,60.0,4.0,,60.0
mka2019-11-19-109,60.0,4.0,IMOD,60.0
mka2019-11-19-110,60.0,4.0,IMOD,60.0
mka2019-11-19-111,60.0,4.0,IMOD,60.0
mka2019-11-19-112,60.0,4.0,IMOD,60.0
mka2019-11-19-113,60.0,4.0,IMOD,60.0
mka2019-11-19-114,60.0,4.0,IMOD,60.0
mka2019-11-19-115,60.0,4.0,IMOD,60.0
mka2019-11-19-116,60.0,4.0,IMOD,60.0
mka2019-11-19-117,60.0,4.0,IMOD,60.0
mka2019-11-19-118,60.0,4.0,IMOD,60.0
mka2019-11-19-119,60.0,4.0,IMOD,60.0
mka2019-11-19-120,60.0,4.0,IMOD,60.0
mka2019-11-19-121,60.0,4.0,IMOD,60.0
mka2019-11-19-122,60.0,4.0,IMOD,60.0
mka2019-11-19-123,60.0,4.0,IMOD,60.0
mka2019-11-19-124,60.0,4.0,IMOD,60.0
mka2019-11-19-125,60.0,4.0,IMOD,60.0
mka2019-11-19-126,60.0,4.0,IMOD,60.0
mka2019-11-19-127,60.0,4.0,IMOD,60.0
mka2019-11-19-128,60.0,4.0,,60.0
mka2019-11-19-129,60.0,4.0,IMOD,60.0
mka2019-11-19-130,60.0,4.0,,60.0
mka2019-11-19-131,60.0,4.0,IMOD,60.0
mka2019-11-19-132,60.0,4.0,IMOD,60.0
mka2019-11-19-133,60.0,4.0,IMOD,60.0
mka2019-11-19-134,60.0,4.0,IMOD,60.0
mka2019-11-19-135,60.0,4.0,IMOD,60.0
mka2019-11-19-136,60.0,4.0,IMOD,60.0
mka2019-11-19-137,60.0,4.0,IMOD,60.0
mka2019-11-19-138,60.0,4.0,IMOD,60.0
mka2019-11-19-139,60.0,4.0,IMOD,60.0
mka2019-11-19-140,60.0,4.0,IMOD,60.0
mka2019-11-19-141,60.0,4.0,IMOD,60.0
mka2019-11-19-142,60.0,4.0,IMOD,60.0
mka2019-11-19-143,60.0,4.0,IMOD,60.0
mka2019-11-19-144,60.0,4.0,,60.0
mka2019-11-19-145,60.0,4.0,IMOD,60.0
mka2019-11-19-146,60.0,4.0,IMOD,60.0
mka2019-11-19-147,60.0,4.0,IMOD,60.0
mka2019-11-19-148,60.0,4.0,,60.0
mka2019-11-19-149,60.0,4.0,IMOD,60.0
mka2019-11-19-150,60.0,4.0,IMOD,60.0
mka2019-11-19-151,60.0,4.0,IMOD,60.0
mka2019-11-19-152,60.0,4.0,IMOD,60.0
mka2019-11-19-153,60.0,4.0,IMOD,60.0
mka2019-11-19-154,60.0,4.0,IMOD,60.0
mka2019-11-19-155,60.0,4.0,IMOD,60.0
mka2019-11-19-156,60.0,4.0,,60.0
mka2019-11-19-157,60.0,4.0,IMOD,60.0
mka2019-11-19-158,60.0,4.0,IMOD,60.0
mka2019-11-19-159,60.0,4.0,IMOD,60.0
mka2019-11-19-160,60.0,4.0,,60.0
mka2019-11-19-161,60.0,4.0,IMOD,60.0
mka2019-11-19-162,60.0,4.0,IMOD,60.0
mka2019-11-19-163,60.0,4.0,IMOD,60.0
mka2019-11-19-164,60.0,4.0,IMOD,60.0
mka2019-11-19-165,60.0,4.0,IMOD,60.0
mka2019-11-19-166,60.0,4.0,IMOD,60.0
mka2019-11-19-167,60.0,4.0,IMOD,60.0
mka2019-11-19-168,60.0,4.0,IMOD,60.0
mka2019-11-19-169,60.0,4.0,IMOD,60.0
mka2019-11-19-170,60.0,4.0,IMOD,60.0
mka2019-11-19-171,60.0,4.0,IMOD,60.0
mka2019-11-19-172,60.0,4.0,IMOD,60.0
mka2019-11-19-173,60.0,4.0,IMOD,60.0
mka2019-11-19-174,60.0,4.0,IMOD,60.0
mka2019-11-19-175,60.0,4.0,,60.0
mka2019-11-19-176,60.0,4.0,IMOD,60.0
mka2019-11-19-177,60.0,4.0,IMOD,60.0
mka2019-11-19-178,60.0,4.0,IMOD,60.0
mka2019-11-19-179,60.0,4.0,IMOD,60.0
mka2019-11-19-180,60.0,4.0,IMOD,60.0
mka2019-11-19-181,60.0,4.0,IMOD,60.0
mka2019-11-19-182,60.0,4.0,IMOD,60.0
mka2019-11-19-183,60.0,4.0,IMOD,60.0
mka2019-11-19-184,60.0,4.0,IMOD,60.0
mka2019-11-19-185,60.0,4.0,IMOD,60.0
mka2019-11-19-186,60.0,4.0,IMOD,60.0
mka2019-11-19-187,60.0,4.0,IMOD,60.0
mka2019-11-19-188,60.0,4.0,IMOD,60.0
mka2019-11-19-189,60.0,4.0,IMOD,60.0
mka2019-11-19-190,60.0,4.0,IMOD,60.0
mka2019-11-19-191,60.0,4.0,IMOD,60.0
mka2019-11-19-192,60.0,4.0,IMOD,60.0
mka2019-11-19-193,60.0,4.0,IMOD,60.0
mka2019-11-19-194,60.0,4.0,IMOD,60.0
mka2019-11-19-195,60.0,4.0,IMOD,60.0
mka2019-11-19-196,60.0,4.0,IMOD,60.0
mka2019-11-19-197,60.0,4.0,IMOD,60.0
mka2019-11-19-198,60.0,4.0,IMOD,60.0
mka2019-11-19-199,60.0,4.0,IMOD,60.0
mka2019-11-19-200,60.0,4.0,IMOD,60.0
mka2019-11-19-201,60.0,4.0,IMOD,60.0
mka2019-11-19-202,60.0,4.0,IMOD,60.0
mka2019-11-19-203,60.0,4.0,IMOD,60.0
mka2019-11-19-205,60.0,4.0,IMOD,60.0
mka2019-11-19-206,60.0,4.0,IMOD,60.0
mka2019-11-19-207,60.0,4.0,IMOD,60.0
mka2019-11-19-208,60.0,4.0,IMOD,60.0
mka2019-11-19-209,60.0,4.0,IMOD,60.0
mka2019-11-19-210,60.0,4.0,IMOD,60.0
mka2019-11-19-211,60.0,4.0,IMOD,60.0
mka2019-11-19-212,60.0,4.0,IMOD,60.0
mka2019-11-19-213,60.0,4.0,IMOD,60.0
mka2019-11-19-214,60.0,4.0,IMOD,60.0
mka2019-11-19-215,60.0,4.0,IMOD,60.0
mka2019-11-19-216,60.0,4.0,IMOD,60.0
mka2019-11-19-217,60.0,4.0,IMOD,60.0
mka2019-11-19-218,60.0,4.0,IMOD,60.0
mka2019-11-19-219,60.0,4.0,IMOD,60.0
mka2019-11-19-220,60.0,4.0,IMOD,60.0
mka2019-11-19-18,57.0,3.0,IMOD,57.0
mka2019-11-19-204,57.0,3.0,IMOD,57.0
mka2019-11-19-20,54.0,3.0,IMOD,54.0
