run_name,frame_dose_rate
dga2019-05-28-1,2.0
dga2019-05-28-5,2.0
dga2019-05-28-17,2.0
dga2019-05-28-26,2.0
dga2019-05-28-28,2.0
dga2019-05-28-31,2.0
dga2019-05-28-40,2.0
dga2019-05-28-46,2.0
dga2019-05-28-52,2.0
dga2019-05-28-56,2.0
dga2019-05-28-59,2.0
dga2019-05-28-63,2.0
dga2019-05-28-69,2.0
dga2019-05-28-78,2.0
dga2019-05-28-96,2.0
dga2019-05-28-99,2.0
dga2019-05-28-100,2.0
dga2019-05-28-102,2.0
dga2019-05-28-104,2.0
dga2019-05-28-110,2.0
dga2019-05-28-113,2.0
dga2019-05-28-115,2.0
dga2019-05-28-120,2.0
dga2019-05-28-2,4.0
dga2019-05-28-7,4.0
dga2019-05-28-11,4.0
dga2019-05-28-15,4.0
dga2019-05-28-24,4.0
dga2019-05-28-39,4.0
dga2019-05-28-41,4.0
dga2019-05-28-42,4.0
dga2019-05-28-54,4.0
dga2019-05-28-55,4.0
dga2019-05-28-58,4.0
dga2019-05-28-67,4.0
dga2019-05-28-71,4.0
dga2019-05-28-73,4.0
dga2019-05-28-75,4.0
dga2019-05-28-84,4.0
dga2019-05-28-85,4.0
dga2019-05-28-89,4.0
dga2019-05-28-93,4.0
dga2019-05-28-94,4.0
dga2019-05-28-97,4.0
dga2019-05-28-108,4.0
dga2019-05-28-111,4.0
dga2019-05-28-114,4.0
dga2019-05-28-122,4.0
dga2019-05-28-3,1.0
dga2019-05-28-4,1.0
dga2019-05-28-20,1.0
dga2019-05-28-27,1.0
dga2019-05-28-29,1.0
dga2019-05-28-33,1.0
dga2019-05-28-38,1.0
dga2019-05-28-44,1.0
dga2019-05-28-45,1.0
dga2019-05-28-47,1.0
dga2019-05-28-48,1.0
dga2019-05-28-53,1.0
dga2019-05-28-61,1.0
dga2019-05-28-65,1.0
dga2019-05-28-68,1.0
dga2019-05-28-72,1.0
dga2019-05-28-76,1.0
dga2019-05-28-79,1.0
dga2019-05-28-87,1.0
dga2019-05-28-90,1.0
dga2019-05-28-92,1.0
dga2019-05-28-101,1.0
dga2019-05-28-103,1.0
dga2019-05-28-117,1.0
dga2019-05-28-118,1.0
dga2019-05-28-121,1.0
dga2019-05-28-6,3.0
dga2019-05-28-10,3.0
dga2019-05-28-12,3.0
dga2019-05-28-13,3.0
dga2019-05-28-18,3.0
dga2019-05-28-19,3.0
dga2019-05-28-21,3.0
dga2019-05-28-25,3.0
dga2019-05-28-30,3.0
dga2019-05-28-32,3.0
dga2019-05-28-35,3.0
dga2019-05-28-49,3.0
dga2019-05-28-51,3.0
dga2019-05-28-62,3.0
dga2019-05-28-70,3.0
dga2019-05-28-74,3.0
dga2019-05-28-77,3.0
dga2019-05-28-81,3.0
dga2019-05-28-82,3.0
dga2019-05-28-83,3.0
dga2019-05-28-88,3.0
dga2019-05-28-98,3.0
dga2019-05-28-105,3.0
dga2019-05-28-112,3.0
dga2019-05-28-8,0.0
dga2019-05-28-14,0.0
dga2019-05-28-16,0.0
dga2019-05-28-22,0.0
dga2019-05-28-23,0.0
dga2019-05-28-34,0.0
dga2019-05-28-36,0.0
dga2019-05-28-37,0.0
dga2019-05-28-43,0.0
dga2019-05-28-50,0.0
dga2019-05-28-57,0.0
dga2019-05-28-60,0.0
dga2019-05-28-64,0.0
dga2019-05-28-80,0.0
dga2019-05-28-86,0.0
dga2019-05-28-91,0.0
dga2019-05-28-95,0.0
dga2019-05-28-106,0.0
dga2019-05-28-107,0.0
dga2019-05-28-109,0.0
dga2019-05-28-116,0.0
dga2019-05-28-119,0.0
dga2019-05-28-123,0.0
