run_name,tomo-align_softwares,ts-tilt_alignment_software,ts-tilt_series_path
psa2014-12-25-1,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70001.mrc
psa2014-12-25-2,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70002.mrc
psa2014-12-25-3,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70003.mrc
psa2014-12-25-4,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70004.mrc
psa2014-12-25-5,['Batchruntomo'],Batchruntomo,rawdata/dKhalfhinduced_atlas70005.mrc
psa2014-12-25-6,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70008.mrc
psa2014-12-25-7,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70009.mrc
psa2014-12-25-8,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70010.mrc
psa2014-12-25-9,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70011.mrc
psa2014-12-25-10,['RAPTOR'],RAPTOR,rawdata/dKhalfhinduced_atlas70012.mrc
