run_name,tomo-voxel_spacing,ts-tilt_range-min
jsa2009-10-16-1,15.64,-59.0
jsa2009-10-16-2,15.64,-59.0
jsa2009-10-16-3,15.64,-59.0
jsa2009-10-16-4,15.64,-59.0
jsa2009-10-16-5,15.64,-59.0
jsa2009-10-16-6,15.64,-59.0
jsa2009-10-16-7,15.64,-59.0
jsa2009-10-16-8,15.64,-59.0
jsa2009-10-16-9,15.64,-59.0
jsa2009-10-16-10,15.64,-59.0
jsa2009-10-16-11,15.64,-59.0
jsa2009-10-16-12,15.64,-59.0
jsa2009-10-16-13,15.64,-59.0
jsa2009-10-16-14,15.64,-59.0
jsa2009-10-16-15,15.64,-59.0
jsa2009-10-16-16,15.64,-59.0
jsa2009-10-16-17,15.64,-59.0
jsa2009-10-16-18,15.64,-59.0
jsa2009-10-16-19,15.64,-59.0
jsa2009-10-16-20,15.64,-59.0
jsa2009-10-16-21,15.64,-59.0
jsa2009-10-16-22,15.64,-59.0
jsa2009-10-16-23,15.64,-59.0
jsa2009-10-16-24,15.64,-59.0
jsa2009-10-16-25,15.64,-59.0
jsa2009-10-16-26,15.64,-59.0
jsa2009-10-16-27,15.64,-59.0
jsa2009-10-16-28,15.64,-59.0
jsa2009-10-16-29,15.64,-59.0
jsa2009-10-16-30,15.64,-59.0
jsa2009-10-16-31,15.64,-59.0
jsa2009-10-16-32,15.64,-59.0
jsa2009-10-16-33,15.64,-59.0
jsa2009-10-16-34,15.64,-59.0
jsa2009-10-16-35,15.48,-59.0
jsa2009-10-16-36,15.64,-59.0
jsa2009-10-16-37,15.64,-59.0
jsa2009-10-16-38,15.64,-59.0
jsa2009-10-16-39,15.64,-59.0
jsa2009-10-16-40,15.64,-59.0
jsa2009-10-16-41,15.64,-56.0
