run_name,tilt_series_max_angle,tilt_series_min_angle,tilt_series_total_flux,tomo-align_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-total_flux
scy2016-06-06-5,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-6,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-7,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-8,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-9,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-10,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-11,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-12,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-13,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-14,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-15,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-16,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-17,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-18,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-19,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-20,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-21,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-22,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-23,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-24,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-25,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-26,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-27,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-28,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-29,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-30,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-31,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-32,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-33,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-34,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-35,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-36,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-37,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-38,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2016-06-06-39,65.0,-65.0,150.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,150.0
scy2015-04-17-1,65.0,-65.0,90.0,Batchruntomo,16.145,Batchruntomo,65.0,-65.0,90.0
scy2015-04-17-2,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-3,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-4,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
