run_name,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing
mst2010-12-10-1,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-2,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-3,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-4,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-5,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-7,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-8,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-9,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-1,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-2,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-3,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-4,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-5,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-6,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-7,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-8,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-9,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-10,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-11,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-11-12,0.0,0.0,0.0,0.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24
mst2010-12-10-6,63.0,-63.0,1.0,1.0,,NON_FIDUCIAL,,,
