run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
scy2014-01-09-1,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-2,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-3,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-4,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-5,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-6,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-7,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-8,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-9,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-10,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-11,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-12,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-13,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-14,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-15,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-17,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-18,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-19,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
scy2014-01-09-16,,NON_FIDUCIAL,,,,,1
