run_name,tomo-voxel_spacing,ts-pixel_spacing
qya2015-11-19-1,13.059,3.265
qya2015-11-19-2,13.059,3.265
qya2015-11-19-6,13.059,3.265
qya2015-11-19-7,13.059,3.265
qya2015-11-19-11,13.059,3.265
qya2015-11-19-12,13.059,3.265
qya2015-11-19-13,13.059,3.265
qya2015-11-19-14,13.059,3.265
qya2015-11-19-15,13.059,3.265
qya2015-11-19-16,13.059,3.265
qya2015-11-19-21,13.059,3.265
qya2015-11-19-22,13.059,3.265
qya2015-11-19-24,13.059,3.265
qya2015-11-19-25,13.059,3.265
qya2015-11-19-26,13.059,3.265
qya2015-11-19-27,13.059,3.265
qya2015-11-19-28,13.059,3.265
qya2015-11-19-29,13.059,3.265
qya2015-11-19-30,13.059,3.265
qya2015-11-19-31,13.059,3.265
qya2015-12-07-9,16.145,4.036
qya2015-12-07-10,16.145,4.036
qya2015-12-07-11,16.145,4.036
qya2015-12-07-12,16.145,4.036
qya2015-12-07-13,16.145,4.036
qya2015-12-07-14,16.145,4.036
qya2015-12-07-17,16.145,4.036
qya2015-12-07-18,16.145,4.036
qya2015-12-07-19,16.145,4.036
qya2015-12-07-20,16.145,4.036
qya2015-12-07-21,16.145,4.036
qya2015-12-07-22,16.145,4.036
qya2015-12-07-23,16.145,4.036
qya2015-12-07-25,16.145,4.036
qya2015-12-07-26,16.145,4.036
qya2015-12-07-31,16.145,4.036
