run_name,tomo-processing_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
pda2022-01-23-1,,45.0,-45.0,4
pda2022-01-23-2,,45.0,-45.0,4
pda2022-01-23-3,IMOD,45.0,-45.0,4
pda2022-01-23-4,IMOD,45.0,-45.0,4
pda2022-01-23-5,IMOD,45.0,-45.0,4
pda2022-01-23-6,IMOD,45.0,-45.0,4
pda2022-01-23-7,IMOD,45.0,-45.0,4
pda2022-01-23-8,IMOD,45.0,-45.0,4
pda2022-01-23-9,IMOD,45.0,-45.0,4
pda2022-01-23-10,IMOD,45.0,-45.0,4
pda2022-01-23-11,IMOD,45.0,-45.0,4
pda2022-01-23-12,IMOD,45.0,-45.0,4
pda2022-01-23-13,IMOD,45.0,-45.0,4
pda2022-01-23-14,IMOD,45.0,-45.0,4
pda2022-01-23-15,IMOD,45.0,-45.0,4
pda2022-01-23-16,IMOD,45.0,-45.0,4
pda2022-01-23-17,IMOD,45.0,-45.0,4
pda2022-01-23-18,IMOD,45.0,-45.0,4
pda2022-01-23-19,IMOD,45.0,-45.0,4
pda2022-01-23-20,IMOD,45.0,-45.0,4
pda2022-01-23-21,IMOD,45.0,-45.0,4
pda2022-01-23-22,IMOD,45.0,-45.0,4
pda2022-01-23-23,IMOD,45.0,-45.0,4
pda2022-01-23-24,IMOD,45.0,-45.0,4
pda2022-01-23-25,IMOD,45.0,-45.0,4
pda2022-01-23-26,IMOD,45.0,-45.0,4
pda2022-01-23-27,IMOD,45.0,-45.0,4
pda2022-01-23-28,IMOD,45.0,-45.0,4
pda2022-01-23-29,IMOD,45.0,-45.0,4
pda2022-01-23-30,IMOD,45.0,-45.0,4
pda2022-01-23-31,IMOD,45.0,-45.0,4
pda2022-01-23-32,IMOD,45.0,-45.0,4
pda2022-01-23-33,IMOD,45.0,-45.0,4
pda2022-01-23-35,IMOD,45.0,-45.0,4
pda2022-01-23-36,IMOD,45.0,-45.0,4
pda2022-01-23-37,IMOD,45.0,-45.0,4
pda2022-01-23-38,IMOD,45.0,-45.0,4
pda2022-01-23-39,IMOD,45.0,-45.0,4
pda2022-01-23-40,IMOD,45.0,-45.0,4
