run_name,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-voxel_spacing,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_alignment_software,ts-tilt_range-min,ts-tilt_series_quality
aba2014-07-15-21,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-22,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-23,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-24,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-25,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-26,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-27,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-28,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-30,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-31,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-32,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-33,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-35,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-36,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-37,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-39,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-40,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
