run_name,frame_dose_rate,ts-tilt_range-max,ts-tilt_range-min
rra2014-03-13-9,1.6216216216216217,55.0,-55.0
rra2014-03-13-10,1.6216216216216217,55.0,-55.0
rra2014-03-13-11,1.6216216216216217,55.0,-55.0
rra2014-03-13-12,1.6216216216216217,55.0,-55.0
rra2014-03-13-13,1.6216216216216217,55.0,-55.0
rra2014-03-13-14,1.6216216216216217,55.0,-55.0
rra2014-03-13-15,1.6216216216216217,55.0,-55.0
rra2014-03-13-16,1.6216216216216217,55.0,-55.0
rra2014-03-13-19,1.6216216216216217,55.0,-55.0
rra2014-03-13-20,1.6216216216216217,55.0,-55.0
rra2014-03-13-21,1.6216216216216217,55.0,-55.0
rra2014-03-13-22,1.6216216216216217,55.0,-55.0
rra2014-03-13-23,1.6216216216216217,55.0,-55.0
rra2014-03-13-24,1.6216216216216217,55.0,-55.0
rra2014-03-13-26,1.6216216216216217,55.0,-55.0
rra2014-03-13-27,1.6216216216216217,55.0,-55.0
rra2014-03-13-28,1.6216216216216217,55.0,-55.0
rra2014-03-13-30,1.6216216216216217,55.0,-55.0
rra2014-03-13-31,1.6216216216216217,55.0,-55.0
rra2014-03-13-53,1.487603305785124,60.0,-60.0
rra2014-03-13-54,1.487603305785124,60.0,-60.0
rra2014-03-13-55,1.487603305785124,60.0,-60.0
rra2014-03-13-56,1.487603305785124,60.0,-60.0
rra2014-03-13-58,1.487603305785124,60.0,-60.0
rra2014-03-13-59,1.487603305785124,60.0,-60.0
rra2014-03-13-60,1.487603305785124,60.0,-60.0
rra2014-03-13-61,1.487603305785124,60.0,-60.0
rra2014-03-13-62,1.487603305785124,60.0,-60.0
rra2014-03-13-63,1.487603305785124,60.0,-60.0
rra2014-03-13-64,1.487603305785124,60.0,-60.0
rra2014-03-13-65,1.487603305785124,60.0,-60.0
rra2014-03-13-66,1.487603305785124,60.0,-60.0
rra2014-03-13-67,1.487603305785124,60.0,-60.0
rra2014-03-13-68,1.487603305785124,60.0,-60.0
