run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
dga2017-09-25-2,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-3,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-4,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-5,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-6,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-8,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-9,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-10,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-11,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-12,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-13,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-14,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-15,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-16,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-19,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-20,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-21,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-22,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-23,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-24,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-27,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-28,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-30,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-31,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-32,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-33,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-34,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-35,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-36,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
dga2017-09-25-37,60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,60.0,4
