run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2018-08-29-1,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-2,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-3,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-4,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-5,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-6,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-7,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-8,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-9,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-10,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-11,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-12,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-13,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-14,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-15,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-16,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-17,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-18,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-19,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-20,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-21,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-22,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-23,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-24,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-25,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-26,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-27,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-28,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-29,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-30,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-31,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-32,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-33,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-34,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-35,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-36,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-37,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-38,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
dga2018-08-29-39,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,RAPTOR,
