run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
dga2017-04-14-3,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-4,1.4814814814814814,0.0,-60.0,2.0,1.5,16.145,4.036,0.0,-60.0,2,1.5,120.0
dga2017-04-14-5,1.4814814814814814,0.0,-60.0,2.0,1.5,16.145,4.036,0.0,-60.0,2,1.5,120.0
dga2017-04-14-6,1.4814814814814814,0.0,-60.0,2.0,1.5,16.145,4.036,0.0,-60.0,2,1.5,120.0
dga2017-04-14-7,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-8,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-9,1.4814814814814814,0.0,-60.0,2.0,1.5,16.145,4.036,0.0,-60.0,2,1.5,120.0
dga2017-04-14-10,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-11,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-12,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-13,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-14,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-15,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-16,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-17,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-18,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-19,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-20,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-21,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-22,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-23,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-24,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-14-31,1.4814814814814814,4.5,-60.0,2.0,1.5,16.145,4.036,4.5,-60.0,2,1.5,120.0
dga2017-04-14-32,1.4814814814814814,13.5,-60.0,2.0,1.5,16.145,4.036,13.5,-60.0,2,1.5,120.0
dga2017-04-14-33,1.4814814814814814,-22.5,-60.0,2.0,1.5,16.145,4.036,-22.5,-60.0,2,1.5,120.0
dga2017-04-14-34,1.4814814814814814,9.0,-60.0,2.0,1.5,16.145,4.036,9.0,-60.0,2,1.5,120.0
dga2017-04-14-36,1.4814814814814814,-13.5,-60.0,2.0,1.5,16.145,4.036,-13.5,-60.0,2,1.5,120.0
dga2017-04-25-2,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-25-3,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-25-4,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-25-5,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-25-6,1.4814814814814814,60.0,-60.0,4.0,1.5,16.145,4.036,60.0,-60.0,4,1.5,120.0
dga2017-04-25-11,1.4814814814814814,4.5,-60.0,2.0,1.5,16.145,4.036,4.5,-60.0,2,1.5,120.0
dga2017-04-25-12,1.4814814814814814,4.5,-60.0,2.0,1.5,16.145,4.036,4.5,-60.0,2,1.5,120.0
dga2017-06-01-1,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-2,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-3,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-4,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-5,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-6,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-7,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-8,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-9,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-10,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-11,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-12,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-13,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-14,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-15,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-28,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-29,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-30,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-31,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-32,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-33,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-34,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-35,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-36,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-37,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-38,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-39,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-40,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-41,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-42,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-43,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-44,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-45,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-46,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-47,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-48,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-49,2.0,0.0,-54.0,2.0,2.0,16.145,4.036,0.0,-54.0,2,2.0,110.0
dga2017-06-01-50,2.0,54.0,-54.0,4.0,2.0,16.145,4.036,54.0,-54.0,4,2.0,110.0
dga2017-06-01-51,2.0,0.0,-54.0,2.0,2.0,24.667,6.167,0.0,-54.0,2,2.0,110.0
