run_name,frame_dose_rate,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_step,ts-total_flux
ycw2016-11-02-1,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-2,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-3,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-4,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-5,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-6,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-8,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-9,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-10,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-11,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-12,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-13,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-14,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-15,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-18,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-19,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-20,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-21,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2016-11-02-22,1.1570247933884297,19.733,4.933,1.0,140.0
ycw2017-02-27-2,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-16,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-17,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-18,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-19,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-20,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-21,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-22,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-23,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-24,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-25,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-26,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-27,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-28,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-30,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-32,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-33,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-34,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-36,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-37,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-38,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-39,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-40,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-41,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-42,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-43,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-45,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-46,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-47,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-48,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-50,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-52,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-53,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-54,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-55,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-57,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-58,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-59,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-60,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-61,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-62,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-63,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-64,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-65,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-66,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-67,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-69,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-70,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-71,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-72,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-73,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-74,2.9508196721311477,16.145,4.036,2.0,180.0
ycw2017-02-27-75,2.9508196721311477,16.145,4.036,2.0,180.0
