run_name,tomo-voxel_spacing,ts-pixel_spacing,ts-total_flux
ycw2018-03-14-2,16.145,4.036,160.0
ycw2018-03-14-6,16.145,4.036,160.0
ycw2018-03-14-7,16.145,4.036,160.0
ycw2018-03-14-8,16.145,4.036,160.0
ycw2018-03-14-9,16.145,4.036,160.0
ycw2018-03-14-10,16.145,4.036,160.0
ycw2018-03-14-11,16.145,4.036,160.0
ycw2018-03-14-12,16.145,4.036,160.0
ycw2018-03-14-13,16.145,4.036,160.0
ycw2018-03-14-14,16.145,4.036,160.0
ycw2018-03-14-16,16.145,4.036,160.0
ycw2018-03-14-17,16.145,4.036,160.0
ycw2018-03-14-19,16.145,4.036,160.0
ycw2018-03-14-21,16.145,4.036,160.0
ycw2018-03-14-22,16.145,4.036,160.0
ycw2018-03-14-23,16.145,4.036,160.0
ycw2018-03-14-25,16.145,4.036,160.0
ycw2018-03-14-29,16.145,4.036,160.0
ycw2018-03-14-30,14.848,3.712,180.0
ycw2018-03-14-31,14.848,3.712,180.0
ycw2018-03-14-32,14.848,3.712,180.0
ycw2018-03-14-33,14.848,3.712,180.0
ycw2018-03-14-34,14.848,3.712,180.0
ycw2018-03-14-35,14.848,3.712,180.0
ycw2018-03-14-36,14.848,3.712,180.0
ycw2018-03-14-37,14.848,3.712,180.0
ycw2018-03-14-38,14.848,3.712,180.0
ycw2018-03-14-39,14.848,3.712,180.0
ycw2018-03-14-40,14.848,3.712,180.0
ycw2018-03-14-41,14.848,3.712,180.0
ycw2018-03-14-43,14.848,3.712,180.0
ycw2018-03-14-44,14.848,3.712,180.0
ycw2018-03-14-45,14.848,3.712,180.0
