run_name,tomo-align_softwares,ts-tilt_alignment_software
aba2014-10-15-1,['RAPTOR'],RAPTOR
aba2014-10-15-2,['RAPTOR'],RAPTOR
aba2014-10-15-3,['RAPTOR'],RAPTOR
aba2014-10-15-4,['RAPTOR'],RAPTOR
aba2014-10-15-5,['RAPTOR'],RAPTOR
aba2014-10-15-6,['RAPTOR'],RAPTOR
aba2014-10-15-7,['RAPTOR'],RAPTOR
aba2014-10-15-8,['RAPTOR'],RAPTOR
aba2014-10-15-9,['RAPTOR'],RAPTOR
aba2014-10-15-10,['RAPTOR'],RAPTOR
aba2014-10-15-11,['RAPTOR'],RAPTOR
aba2014-10-15-12,['RAPTOR'],RAPTOR
aba2014-10-15-13,['RAPTOR'],RAPTOR
aba2014-10-15-15,['RAPTOR'],RAPTOR
aba2014-10-15-16,['RAPTOR'],RAPTOR
aba2014-10-15-17,['RAPTOR'],RAPTOR
aba2014-10-15-18,['RAPTOR'],RAPTOR
aba2014-10-15-19,['RAPTOR'],RAPTOR
aba2014-10-15-20,['RAPTOR'],RAPTOR
aba2014-10-15-21,['RAPTOR'],RAPTOR
aba2014-10-15-22,['RAPTOR'],RAPTOR
aba2014-10-15-14,['Batchruntomo'],Batchruntomo
