run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2016-06-14-1,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-2,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-3,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-4,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-5,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-6,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-7,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-8,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-9,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-10,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-11,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-12,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-13,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-14,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-15,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-16,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-17,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-18,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-19,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-20,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-21,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-22,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-23,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-24,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-25,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-26,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-27,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-28,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-29,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-30,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-31,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-32,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-33,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-34,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-35,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-36,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-37,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-38,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-39,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-40,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-41,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2016-06-14-42,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
