run_name,tilt_series_min_angle,tilt_series_quality_score,ts-tilt_range-min,ts-tilt_series_quality
mba2011-12-17-18,-65.0,4.0,-65.0,4
mba2011-12-17-19,-65.0,4.0,-65.0,4
mba2011-12-17-20,-65.0,4.0,-65.0,4
mba2011-12-17-29,-65.0,4.0,-65.0,4
mba2011-12-17-21,-64.0,3.0,-64.0,3
mba2011-12-17-22,-64.0,3.0,-64.0,3
mba2011-12-17-23,-52.0,3.0,-52.0,3
mba2011-12-17-24,-61.0,3.0,-61.0,3
mba2011-12-17-25,-63.0,3.0,-63.0,3
mba2011-12-17-30,-63.0,3.0,-63.0,3
mba2011-12-17-26,-62.0,3.0,-62.0,3
mba2011-12-17-27,-42.0,3.0,-42.0,3
mba2011-12-17-28,-54.0,3.0,-54.0,3
