run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2016-08-09-2,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-5,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-8,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-9,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-13,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-19,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-26,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-27,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-42,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-48,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-52,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-58,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-63,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-68,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-69,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-72,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-74,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-83,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-86,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-93,TOMO3D,FIDUCIAL,tomo3D,SIRT,TOMO3D,16.8,TOMO3D,
dga2016-08-09-7,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-11,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-12,RAPTOR,FIDUCIAL,,SIRT,IMOD,16.8,RAPTOR,
dga2016-08-09-14,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-15,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-16,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-17,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-18,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-20,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-21,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-22,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
