run_name,tilt_series_max_angle,tilt_series_min_angle,tilt_series_tilt_step,tilt_series_total_flux,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step,ts-total_flux
ycw2013-11-05-10,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-11,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-12,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-13,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-14,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-15,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-16,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-17,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-18,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-19,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-20,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-21,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-22,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-23,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-24,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-25,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-11-05-26,60.0,-60.0,1.0,190.0,60.0,-60.0,1.0,190.0
ycw2013-12-16-8,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-9,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-10,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-11,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-12,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-13,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-14,65.0,-65.0,1.0,180.0,65.0,-65.0,1.0,180.0
ycw2013-12-16-15,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-16,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-17,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-18,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-19,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-20,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-21,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-22,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-23,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-24,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-25,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-26,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-27,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-28,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-29,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-30,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-31,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-32,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-33,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-34,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-35,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-36,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-37,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-38,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-39,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-40,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-41,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-42,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-43,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-44,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-45,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
ycw2013-12-16-46,65.0,-65.0,1.5,180.0,65.0,-65.0,1.5,180.0
