run_name,frame_dose_rate,tomo-voxel_spacing,ts-pixel_spacing,ts-total_flux
rra2014-01-14-1,180.0,19.733,4.933,180.0
rra2014-01-14-2,180.0,19.733,4.933,180.0
rra2014-01-14-3,180.0,19.733,4.933,180.0
rra2014-01-14-4,180.0,19.733,4.933,180.0
rra2014-01-14-5,180.0,19.733,4.933,180.0
rra2014-01-14-6,180.0,19.733,4.933,180.0
rra2014-01-14-8,180.0,19.733,4.933,180.0
rra2014-01-14-9,180.0,19.733,4.933,180.0
rra2014-01-14-10,180.0,19.733,4.933,180.0
rra2014-01-14-11,180.0,19.733,4.933,180.0
rra2014-01-14-12,180.0,19.733,4.933,180.0
rra2014-01-14-13,180.0,19.733,4.933,180.0
rra2014-01-14-15,180.0,19.733,4.933,180.0
rra2014-01-14-16,180.0,19.733,4.933,180.0
rra2014-01-14-17,180.0,19.733,4.933,180.0
rra2014-01-14-19,180.0,19.733,4.933,180.0
rra2014-01-14-20,180.0,19.733,4.933,180.0
rra2014-01-14-21,180.0,19.733,4.933,180.0
rra2014-01-14-22,180.0,19.733,4.933,180.0
rra2014-01-14-23,180.0,19.733,4.933,180.0
rra2014-01-14-26,180.0,19.733,4.933,180.0
rra2014-01-14-27,180.0,19.733,4.933,180.0
rra2014-01-14-28,180.0,19.733,4.933,180.0
rra2014-01-14-29,180.0,19.733,4.933,180.0
rra2014-01-14-30,180.0,19.733,4.933,180.0
rra2014-01-14-31,180.0,19.733,4.933,180.0
rra2014-01-14-32,180.0,19.733,4.933,180.0
rra2014-02-05-1,180.0,16.145,4.036,180.0
rra2014-02-05-2,180.0,16.145,4.036,180.0
rra2014-02-05-3,180.0,16.145,4.036,180.0
rra2014-02-05-4,180.0,16.145,4.036,180.0
rra2014-02-05-6,180.0,16.145,4.036,180.0
rra2014-02-05-7,180.0,16.145,4.036,180.0
rra2014-02-05-8,180.0,16.145,4.036,180.0
rra2014-02-05-9,180.0,16.145,4.036,180.0
rra2014-02-05-10,180.0,10.829,2.707,180.0
rra2014-02-05-11,180.0,10.829,2.707,180.0
rra2014-02-05-12,180.0,10.829,2.707,180.0
rra2014-02-05-13,180.0,10.829,2.707,180.0
rra2014-02-05-15,180.0,10.829,2.707,180.0
rra2014-02-05-16,180.0,10.829,2.707,180.0
rra2014-02-05-17,180.0,10.829,2.707,180.0
rra2014-02-05-18,180.0,10.829,2.707,180.0
rra2014-02-05-19,180.0,10.829,2.707,180.0
rra2014-02-05-20,180.0,10.829,2.707,180.0
rra2014-02-05-21,180.0,10.829,2.707,180.0
rra2014-02-05-22,180.0,10.829,2.707,180.0
rra2014-02-05-23,180.0,10.829,2.707,180.0
rra2014-02-05-24,180.0,10.829,2.707,180.0
rra2014-02-05-25,180.0,10.829,2.707,180.0
rra2014-02-05-26,180.0,10.829,2.707,180.0
rra2014-02-05-28,180.0,10.829,2.707,180.0
rra2014-02-05-29,180.0,10.829,2.707,180.0
rra2014-02-07-1,150.0,10.829,2.707,150.0
rra2014-02-07-2,150.0,10.829,2.707,150.0
rra2014-02-07-4,150.0,10.829,2.707,150.0
rra2014-02-07-5,150.0,10.829,2.707,150.0
rra2014-02-07-6,150.0,10.829,2.707,150.0
rra2014-02-07-7,150.0,10.829,2.707,150.0
rra2014-02-07-8,150.0,10.829,2.707,150.0
rra2014-02-07-9,150.0,10.829,2.707,150.0
rra2014-02-07-10,150.0,10.829,2.707,150.0
rra2014-02-07-11,150.0,10.829,2.707,150.0
rra2014-02-07-12,150.0,10.829,2.707,150.0
rra2014-02-07-13,150.0,10.829,2.707,150.0
rra2014-02-07-14,150.0,10.829,2.707,150.0
rra2014-02-07-15,150.0,10.829,2.707,150.0
rra2014-02-07-16,150.0,10.829,2.707,150.0
rra2014-02-07-17,150.0,10.829,2.707,150.0
rra2014-02-07-18,150.0,10.829,2.707,150.0
rra2014-02-07-19,150.0,10.829,2.707,150.0
rra2014-02-07-20,150.0,10.829,2.707,150.0
