run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
aba2014-06-06-1,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-2,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-3,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-4,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-5,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-6,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-7,4.0,autoPatch,NON_FIDUCIAL,WBP,IMOD,13.059,autoPatch,4
aba2014-06-06-8,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-9,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-10,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-11,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-12,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-13,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-14,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-15,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-16,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-17,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-18,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-19,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-20,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-21,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-22,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-23,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-24,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-25,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-27,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,13.059,RAPTOR,4
aba2014-06-06-26,1.0,,NON_FIDUCIAL,,,,,1
