run_name,tomo-align_software,ts-tilt_alignment_software,ts-tilt_range-min,ts-tilt_series_quality
mba2011-04-12-1,IMOD,IMOD,-64.5,4
mba2011-04-12-2,IMOD,IMOD,-64.5,4
mba2011-04-12-3,IMOD,IMOD,-64.5,4
mba2011-04-12-5,IMOD,IMOD,-64.5,4
mba2011-04-12-6,IMOD,IMOD,-64.5,4
mba2011-04-12-8,IMOD,IMOD,-64.5,4
mba2011-04-12-4,IMOD,IMOD,-60.0,3
mba2011-04-12-7,RAPTOR,RAPTOR,-58.5,3
mba2011-04-12-9,IMOD,IMOD,-55.5,3
mba2011-04-12-12,IMOD,IMOD,-55.5,3
mba2011-04-12-15,IMOD,IMOD,-55.5,3
mba2011-04-12-16,IMOD,IMOD,-55.5,3
mba2011-04-12-17,IMOD,IMOD,-55.5,3
mba2011-04-12-10,IMOD,IMOD,-58.5,3
mba2011-04-12-11,RAPTOR,RAPTOR,-60.0,3
mba2011-04-12-32,RAPTOR,RAPTOR,-60.0,3
mba2011-04-12-34,RAPTOR,RAPTOR,-60.0,3
mba2011-04-12-13,IMOD,IMOD,-57.0,3
mba2011-04-12-14,IMOD,IMOD,-54.0,3
mba2011-04-12-18,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-19,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-20,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-21,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-22,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-23,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-24,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-25,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-26,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-27,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-28,RAPTOR,RAPTOR,-64.5,4
mba2011-04-12-29,RAPTOR,RAPTOR,-61.5,3
mba2011-04-12-30,RAPTOR,RAPTOR,-61.5,3
mba2011-04-12-31,RAPTOR,RAPTOR,-61.5,3
mba2011-04-12-33,RAPTOR,RAPTOR,-61.5,3
mba2011-04-12-35,RAPTOR,RAPTOR,-61.5,3
