run_name,tomo-align_software,tomo-fiducial_alignment_status,ts-tilt_alignment_software
psa2014-06-19-3,RAPTOR,FIDUCIAL,RAPTOR
psa2014-06-19-4,RAPTOR,FIDUCIAL,RAPTOR
psa2014-06-19-53,RAPTOR,FIDUCIAL,RAPTOR
psa2014-06-19-54,RAPTOR,FIDUCIAL,RAPTOR
psa2014-06-19-55,RAPTOR,FIDUCIAL,RAPTOR
psa2014-06-19-56,RAPTOR,FIDUCIAL,RAPTOR
psa2014-06-19-52,autoPatch,NON_FIDUCIAL,autoPatch
