run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_step,ts-total_flux
dga2017-05-10-8,110.0,60.0,4.0,1.5,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,1.5,110.0
dga2017-05-10-9,110.0,60.0,4.0,1.5,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,1.5,110.0
dga2017-05-10-10,110.0,60.0,4.0,1.5,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,1.5,110.0
dga2017-05-10-11,110.0,60.0,4.0,1.5,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,1.5,110.0
dga2017-05-10-16,110.0,60.0,4.0,1.5,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,1.5,110.0
dga2017-05-10-17,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-18,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-19,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-20,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-21,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-22,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-23,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-24,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-25,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-27,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-28,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-29,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-30,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-31,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-32,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-33,110.0,24.0,3.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,24.0,2.0,110.0
dga2017-05-10-34,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-35,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-36,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-37,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-38,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-40,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-41,110.0,22.0,3.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,22.0,2.0,110.0
dga2017-05-10-42,110.0,0.0,2.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,0.0,2.0,110.0
dga2017-05-10-43,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-48,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
