run_name,ts-tilt_range-min,ts-tilt_series_quality
mba2010-03-04-1,-64.5,4
mba2010-03-04-4,-64.5,4
mba2010-03-04-2,-58.5,3
mba2010-03-04-3,-51.0,3
mba2010-03-04-5,-57.0,3
