run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path
aba2013-12-24-1,['RAPTOR'],FIDUCIAL,SIRT,16.145,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0001.mrc
aba2013-12-24-2,['RAPTOR'],FIDUCIAL,SIRT,1.0,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0002.mrc
aba2013-12-24-4,['RAPTOR'],FIDUCIAL,Weighted back projection,16.145,RAPTOR,rawdata/BB120VibrioHWT0004.mrc
aba2013-12-24-5,['RAPTOR'],FIDUCIAL,Weighted back projection,16.145,RAPTOR,rawdata/BB120VibrioHWT0005.mrc
aba2013-12-24-6,['RAPTOR'],FIDUCIAL,Weighted back projection,16.145,RAPTOR,rawdata/BB120VibrioHWT0006.mrc
aba2013-12-24-7,['RAPTOR'],FIDUCIAL,Weighted back projection,16.145,RAPTOR,rawdata/BB120VibrioHWT0007.mrc
aba2013-12-24-8,['RAPTOR'],FIDUCIAL,Weighted back projection,16.145,RAPTOR,rawdata/BB120VibrioHWT0008.mrc
aba2013-12-24-10,['RAPTOR'],FIDUCIAL,SIRT,16.145,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0010.mrc
aba2013-12-24-11,['RAPTOR'],FIDUCIAL,SIRT,1.0,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0011.mrc
aba2013-12-24-12,['RAPTOR'],FIDUCIAL,SIRT,16.145,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0012.mrc
aba2013-12-24-13,['RAPTOR'],FIDUCIAL,SIRT,16.145,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0013.mrc
aba2013-12-24-14,['RAPTOR'],FIDUCIAL,SIRT,1.0,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0014.mrc
aba2013-12-24-15,['RAPTOR'],FIDUCIAL,SIRT,1.0,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0015.mrc
aba2013-12-24-16,['RAPTOR'],FIDUCIAL,SIRT,16.145,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0016.mrc
aba2013-12-24-17,['RAPTOR'],FIDUCIAL,SIRT,1.0,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0017.mrc
aba2013-12-24-18,['RAPTOR'],FIDUCIAL,SIRT,1.0,RAPTOR;RAPTOR,rawdata/BB120VibrioHWT0018.mrc
