run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-data_acquisition_software,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-total_flux
qya2015-12-07-1,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,180.0
qya2015-12-07-2,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,180.0
qya2015-12-07-3,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,180.0
qya2015-12-07-8,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSF Tomo,4.036,RAPTOR,60.0,-60.0,4,180.0
qya2015-12-07-28,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,180.0
qya2015-12-24-2,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-24-11,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-24-22,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-24-23,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-24-26,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-24-33,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-24-41,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-24-42,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,UCSFTomo,4.036,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-1,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-2,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-25-9,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-3,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-4,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-25-11,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSF Tomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-5,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-6,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-7,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-8,1.6115702479338843,,NON_FIDUCIAL,,,,UCSFTomo,4.933,,60.0,-60.0,1,195.0
qya2015-12-26-9,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-11,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSF Tomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-12,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-14,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-15,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-17,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-22,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-24,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-30,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-34,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-35,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
