run_name,tilt_series_min_angle,tilt_series_quality_score,ts-tilt_range-min
mba2011-11-23-1,-64.5,4.0,-64.5
mba2011-11-23-5,-64.5,4.0,-64.5
mba2011-11-23-7,-64.5,4.0,-64.5
mba2011-11-23-8,-64.5,4.0,-64.5
mba2011-11-23-9,-64.5,4.0,-64.5
mba2011-11-23-12,-64.5,4.0,-64.5
mba2011-11-23-13,-64.5,4.0,-64.5
mba2011-11-23-16,-64.5,4.0,-64.5
mba2011-11-23-17,-64.5,4.0,-64.5
mba2011-11-23-18,-64.5,4.0,-64.5
mba2011-11-23-19,-64.5,4.0,-64.5
mba2011-11-23-20,-64.5,4.0,-64.5
mba2011-11-23-22,-64.5,4.0,-64.5
mba2011-11-23-23,-64.5,4.0,-64.5
mba2011-11-23-24,-64.5,4.0,-64.5
mba2011-11-23-25,-64.5,4.0,-64.5
mba2011-11-23-26,-64.5,4.0,-64.5
mba2011-11-23-28,-64.5,4.0,-64.5
mba2011-11-23-29,-64.5,4.0,-64.5
mba2011-11-23-30,-64.5,4.0,-64.5
mba2011-11-23-31,-64.5,4.0,-64.5
mba2011-11-23-32,-64.5,4.0,-64.5
mba2011-11-23-33,-64.5,4.0,-64.5
mba2011-11-23-34,-64.5,4.0,-64.5
mba2011-11-23-35,-64.5,4.0,-64.5
mba2011-11-23-36,-64.5,4.0,-64.5
mba2011-11-23-2,-52.5,3.0,-52.5
mba2011-11-23-14,-52.5,3.0,-52.5
mba2011-11-23-3,-45.0,3.0,-45.0
mba2011-11-23-4,-61.5,3.0,-61.5
mba2011-11-23-27,-61.5,3.0,-61.5
mba2011-11-23-6,-43.5,3.0,-43.5
mba2011-11-23-10,-49.5,3.0,-49.5
mba2011-11-23-11,-57.0,3.0,-57.0
mba2011-11-23-15,-60.0,3.0,-60.0
mba2011-11-23-21,-63.0,3.0,-63.0
