run_name,ts-tilt_series_path,ts-total_flux
dga2017-07-19-23,rawdata/20170719_JV35880022.mrc,100.0
dga2017-07-19-24,rawdata/20170719_JV35880023.mrc,100.0
dga2017-07-19-26,rawdata/20170719_JV35880025.mrc,100.0
dga2017-07-19-27,rawdata/20170719_JV35880026.mrc,100.0
dga2017-07-19-28,rawdata/20170719_JV35880027.mrc,100.0
dga2017-07-19-29,rawdata/20170719_JV35880028.mrc,100.0
dga2017-07-19-30,rawdata/20170719_JV35880029.mrc,100.0
dga2017-07-19-32,rawdata/20170719_JV35880031.mrc,100.0
dga2017-07-19-33,rawdata/20170719_JV35880032.mrc,100.0
dga2017-07-19-34,rawdata/20170719_JV35880033.mrc,100.0
dga2017-07-19-37,rawdata/20170719_JV35880036.mrc,100.0
dga2017-07-19-38,rawdata/20170719_JV35880037.mrc,100.0
dga2017-07-19-39,rawdata/20170719_JV35880038.mrc,100.0
