run_name,frame_dose_rate
dga2019-05-31-1,1.0
dga2019-05-31-12,1.0
dga2019-05-31-15,1.0
dga2019-05-31-20,1.0
dga2019-05-31-32,1.0
dga2019-05-31-33,1.0
dga2019-05-31-34,1.0
dga2019-05-31-41,1.0
dga2019-05-31-42,1.0
dga2019-05-31-52,1.0
dga2019-05-31-63,1.0
dga2019-05-31-75,1.0
dga2019-05-31-78,1.0
dga2019-05-31-80,1.0
dga2019-05-31-81,1.0
dga2019-05-31-83,1.0
dga2019-05-31-85,1.0
dga2019-05-31-92,1.0
dga2019-05-31-93,1.0
dga2019-05-31-100,1.0
dga2019-05-31-107,1.0
dga2019-05-31-2,3.0
dga2019-05-31-3,3.0
dga2019-05-31-8,3.0
dga2019-05-31-9,3.0
dga2019-05-31-10,3.0
dga2019-05-31-11,3.0
dga2019-05-31-16,3.0
dga2019-05-31-18,3.0
dga2019-05-31-21,3.0
dga2019-05-31-22,3.0
dga2019-05-31-36,3.0
dga2019-05-31-43,3.0
dga2019-05-31-49,3.0
dga2019-05-31-53,3.0
dga2019-05-31-55,3.0
dga2019-05-31-57,3.0
dga2019-05-31-61,3.0
dga2019-05-31-68,3.0
dga2019-05-31-69,3.0
dga2019-05-31-71,3.0
dga2019-05-31-74,3.0
dga2019-05-31-77,3.0
dga2019-05-31-79,3.0
dga2019-05-31-84,3.0
dga2019-05-31-87,3.0
dga2019-05-31-91,3.0
dga2019-05-31-94,3.0
dga2019-05-31-101,3.0
dga2019-05-31-106,3.0
dga2019-05-31-4,0.0
dga2019-05-31-6,0.0
dga2019-05-31-13,0.0
dga2019-05-31-23,0.0
dga2019-05-31-30,0.0
dga2019-05-31-39,0.0
dga2019-05-31-40,0.0
dga2019-05-31-44,0.0
dga2019-05-31-59,0.0
dga2019-05-31-60,0.0
dga2019-05-31-62,0.0
dga2019-05-31-64,0.0
dga2019-05-31-65,0.0
dga2019-05-31-67,0.0
dga2019-05-31-73,0.0
dga2019-05-31-90,0.0
dga2019-05-31-95,0.0
dga2019-05-31-97,0.0
dga2019-05-31-99,0.0
dga2019-05-31-102,0.0
dga2019-05-31-105,0.0
dga2019-05-31-5,2.0
dga2019-05-31-7,2.0
dga2019-05-31-25,2.0
dga2019-05-31-27,2.0
dga2019-05-31-28,2.0
dga2019-05-31-47,2.0
dga2019-05-31-50,2.0
dga2019-05-31-51,2.0
dga2019-05-31-54,2.0
dga2019-05-31-58,2.0
dga2019-05-31-66,2.0
dga2019-05-31-76,2.0
dga2019-05-31-89,2.0
dga2019-05-31-98,2.0
dga2019-05-31-108,2.0
dga2019-05-31-14,4.0
dga2019-05-31-17,4.0
dga2019-05-31-19,4.0
dga2019-05-31-24,4.0
dga2019-05-31-26,4.0
dga2019-05-31-29,4.0
dga2019-05-31-31,4.0
dga2019-05-31-35,4.0
dga2019-05-31-38,4.0
dga2019-05-31-45,4.0
dga2019-05-31-46,4.0
dga2019-05-31-48,4.0
dga2019-05-31-56,4.0
dga2019-05-31-70,4.0
dga2019-05-31-82,4.0
dga2019-05-31-86,4.0
dga2019-05-31-88,4.0
dga2019-05-31-96,4.0
dga2019-05-31-103,4.0
dga2019-05-31-104,4.0
