run_name,tomo-align_software,tomo-fiducial_alignment_status,ts-tilt_alignment_software
psa2014-12-30-1,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-4,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-40,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-41,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-42,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-43,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-44,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-45,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-46,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-47,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-30-2,autoPatch,NON_FIDUCIAL,autoPatch
psa2014-12-30-3,Batchruntomo,FIDUCIAL,Batchruntomo
