run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
mka2019-10-25-1,39.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,39.0,3
mka2019-10-25-2,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-3,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-5,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-8,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-45,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-54,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-62,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-63,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-65,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-68,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-69,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-70,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-71,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-80,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-82,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-87,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-88,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-94,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-97,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-100,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-106,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-141,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-146,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-149,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-154,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-156,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-164,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-165,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-166,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-169,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-170,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-173,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-175,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-176,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-189,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-193,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-205,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-206,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-217,57.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-10-25-4,48.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,48.0,3
mka2019-10-25-24,48.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,48.0,3
mka2019-10-25-122,48.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,48.0,3
mka2019-10-25-131,48.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,48.0,3
mka2019-10-25-144,48.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,48.0,3
mka2019-10-25-168,48.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,48.0,3
mka2019-10-25-6,51.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,51.0,3
mka2019-10-25-25,51.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,51.0,3
mka2019-10-25-61,51.0,1.0,,NON_FIDUCIAL,,,,,,51.0,1
mka2019-10-25-81,51.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,51.0,3
mka2019-10-25-116,51.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,51.0,3
mka2019-10-25-145,51.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,51.0,3
mka2019-10-25-171,51.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,51.0,3
mka2019-10-25-7,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-26,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-44,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-64,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-83,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-107,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-121,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-129,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-130,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-167,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-172,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-174,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-190,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-191,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-203,54.0,3.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-10-25-9,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-10,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-11,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-12,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-13,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-14,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-10-25-15,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-10-25-16,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-10-25-17,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-10-25-18,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-19,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-20,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-21,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-22,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-23,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-28,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-10-25-29,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
