run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software,ts-tilt_series_quality
dga2017-03-02-1,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-2,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-3,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-4,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-5,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-6,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-7,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-8,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-9,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-10,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-11,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-12,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-13,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-14,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-15,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-16,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-17,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-18,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-19,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-20,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-21,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-22,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-23,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-24,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-25,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-26,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-27,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-28,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-37,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-38,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
dga2017-03-02-39,,,,,,1
