run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
dga2019-12-02-1,-9.0,1.0,,NON_FIDUCIAL,,,,,-9.0,1
dga2019-12-02-45,-9.0,1.0,,NON_FIDUCIAL,,,,,-9.0,1
dga2019-12-05-2,-9.0,1.0,,NON_FIDUCIAL,,,,,-9.0,1
dga2019-12-04-18,-9.0,1.0,,NON_FIDUCIAL,,,,,-9.0,1
dga2019-12-02-2,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-3,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-5,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-7,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-9,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-10,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-11,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-14,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-16,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-17,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-19,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-20,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-21,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-23,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-25,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-26,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-27,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-28,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-29,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-31,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-32,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-33,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-34,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-35,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-36,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-37,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-38,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-39,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-40,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-41,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-42,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-43,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-46,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-47,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-48,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
dga2019-12-02-49,54.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,10.448,RAPTOR,54.0,4
