run_name,tomo-voxel_spacing
mba2011-08-10-1,1.036
mba2011-08-10-2,1.036
mba2011-08-10-3,1.036
mba2011-08-10-4,1.036
mba2011-08-10-5,1.036
mba2011-08-10-6,1.024
mba2011-08-10-7,1.024
mba2011-08-10-8,1.024
mba2011-08-10-9,1.024
mba2011-08-10-11,1.024
mba2011-08-10-14,1.024
mba2011-08-10-15,1.024
mba2011-08-10-16,1.024
mba2011-08-10-17,1.024
mba2011-08-10-19,1.024
mba2011-08-10-22,1.024
mba2011-08-10-23,1.024
mba2011-08-10-24,1.024
mba2011-08-10-25,1.024
mba2011-08-10-27,1.024
mba2011-08-10-28,1.024
mba2011-08-10-30,1.024
mba2011-08-10-31,1.024
mba2011-08-10-32,1.024
mba2011-08-10-33,1.024
mba2011-08-10-34,1.024
mba2011-08-10-35,1.024
mba2011-08-10-36,1.024
mba2011-08-10-37,1.024
mba2011-08-10-38,1.024
mba2011-08-10-39,1.024
mba2011-08-10-40,1.024
mba2011-08-10-41,1.024
mba2011-08-10-42,1.024
mba2011-08-10-10,0.512
mba2011-08-10-12,0.512
mba2011-08-10-13,0.512
mba2011-08-10-18,0.512
mba2011-08-10-20,0.512
mba2011-08-10-21,0.512
mba2011-08-10-26,0.512
mba2011-08-10-29,0.512
