run_name,tomo-align_softwares,tomo-fiducial_alignment_status,ts-tilt_alignment_software,ts-tilt_series_path
aba2013-04-06-7,['autoPatch'],NON_FIDUCIAL,autoPatch,rawdata/hepaticus41mag0002.mrc
aba2013-04-06-8,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0003.mrc
aba2013-04-06-9,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0004.mrc
aba2013-04-06-10,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0005.mrc
aba2013-04-06-11,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0006.mrc
aba2013-04-06-12,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0007.mrc
aba2013-04-06-13,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0008.mrc
aba2013-04-06-14,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0009.mrc
aba2013-04-06-15,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0010.mrc
aba2013-04-06-16,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0011.mrc
aba2013-04-06-17,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0012.mrc
aba2013-04-06-18,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0013.mrc
aba2013-04-06-19,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0014.mrc
aba2013-04-06-20,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0015.mrc
aba2013-04-06-21,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0016.mrc
aba2013-04-06-22,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/hepaticus41mag0017.mrc
