run_name,ts-tilt_alignment_software
cwl2011-08-14-1,IMOD
cwl2011-08-14-2,IMOD
cwl2011-08-14-3,IMOD
cwl2011-08-14-4,IMOD
cwl2011-08-14-5,IMOD
cwl2011-08-14-6,IMOD
cwl2011-08-14-7,IMOD
cwl2011-08-14-8,IMOD
cwl2011-08-14-9,IMOD
cwl2011-08-14-10,IMOD
cwl2011-08-14-11,IMOD
cwl2011-08-14-12,IMOD
cwl2011-08-14-13,IMOD
cwl2011-08-14-15,IMOD
cwl2011-08-14-16,IMOD
cwl2011-08-14-17,IMOD
cwl2011-08-14-18,IMOD
cwl2011-08-14-19,IMOD
cwl2011-08-14-20,IMOD
cwl2011-08-14-21,IMOD
cwl2011-08-14-14,IMOD;IMOD
