run_name,tomo-voxel_spacing,ts-tilt_series_path
cwl2011-04-14-1,9.5,rawdata/11apr14b_C68-3_004.st
cwl2011-04-14-2,9.5,rawdata/11apr14b_C68-3_006.st
cwl2011-04-14-3,9.5,rawdata/._11apr14b_C68-3_007.st
cwl2011-04-14-4,19.0,rawdata/11apr14b_C68-3_008.st
cwl2011-04-14-5,19.0,rawdata/11apr14b_C68-3_010.st
cwl2011-04-14-6,19.0,rawdata/11apr14b_C68-3_011.st
cwl2011-04-14-7,9.5,rawdata/11apr14b_C68-3_012.st
cwl2011-04-14-8,19.0,rawdata/11apr14b_C68-3_013.st
cwl2011-04-14-9,19.0,rawdata/11apr14b_C68-2b_018.st
cwl2011-04-14-10,19.0,rawdata/11apr14b_C68-2b_019.st
cwl2011-04-14-11,19.0,rawdata/11apr14b_C68-2b_022.st
cwl2011-04-14-12,19.0,rawdata/11apr14b_C68-2b_024.st
cwl2011-04-14-13,19.0,rawdata/11apr14b_C68-2b_029.st
cwl2011-04-14-14,19.0,rawdata/11apr14b_C68-2b_032.st
cwl2011-04-14-15,19.0,rawdata/11apr14b_C68-2b_033.st
cwl2011-04-14-16,19.0,rawdata/11apr14b_C68-2b_034.st
cwl2011-04-14-17,19.0,rawdata/11apr14b_C68-2b_035.st
cwl2011-04-14-18,19.0,rawdata/11apr14b_C68-2b_037.st
cwl2011-04-14-19,9.5,rawdata/11apr14b_C68-2b_038.st
cwl2011-04-14-20,9.5,rawdata/11apr14b_C68-2b_041.st
cwl2011-04-14-21,19.0,rawdata/11apr14b_C68-2b_042.st
cwl2011-04-14-22,9.5,rawdata/11apr14b_C68-2b_043.st
