run_name,tilt_series_tilt_step,ts-tilt_step
cwl2012-12-08-1,1.0,1.0
cwl2012-12-08-2,1.0,1.0
cwl2012-12-08-3,1.5,1.5
cwl2012-12-08-4,1.5,1.5
