run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software
dga2017-02-08-3,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-45,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-48,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-68,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-95,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-96,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-99,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-102,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-107,RAPTOR,,Weighted back projection,IMOD,16.145,RAPTOR
dga2017-02-08-4,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-5,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-6,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-7,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-8,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-9,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-10,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-11,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-12,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-13,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-14,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-15,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-16,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-17,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
