run_name,tomo-align_software,ts-tilt_alignment_software
psa2014-12-20-33,RAPTOR,RAPTOR
psa2014-12-20-34,RAPTOR,RAPTOR
psa2014-12-20-35,RAPTOR,RAPTOR
psa2014-12-20-37,RAPTOR,RAPTOR
psa2014-12-20-38,RAPTOR,RAPTOR
psa2014-12-20-39,RAPTOR,RAPTOR
psa2014-12-20-40,RAPTOR,RAPTOR
psa2014-12-20-41,RAPTOR,RAPTOR
psa2014-12-20-42,RAPTOR,RAPTOR
psa2014-12-20-43,RAPTOR,RAPTOR
psa2014-12-20-44,RAPTOR,RAPTOR
psa2014-12-20-45,RAPTOR,RAPTOR
psa2014-12-20-46,RAPTOR,RAPTOR
psa2014-12-20-47,RAPTOR,RAPTOR
psa2014-12-20-48,RAPTOR,RAPTOR
psa2014-12-20-49,RAPTOR,RAPTOR
psa2014-12-20-50,RAPTOR,RAPTOR
psa2014-12-20-51,RAPTOR,RAPTOR
psa2014-12-20-52,RAPTOR,RAPTOR
psa2014-12-20-53,RAPTOR,RAPTOR
psa2014-12-20-36,Batchruntomo,Batchruntomo
