run_name,tomo-align_softwares,tomo-fiducial_alignment_status,ts-tilt_alignment_software
aba2014-04-10-3,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-4,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-5,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-6,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-7,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-8,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-9,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-10,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-11,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-12,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-13,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-15,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-16,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-17,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-18,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-19,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-20,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-21,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-22,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-23,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-24,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-25,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-26,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-27,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-28,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-29,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-30,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-31,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-32,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-33,['RAPTOR'],FIDUCIAL,RAPTOR
aba2014-04-10-14,['autoPatch'],NON_FIDUCIAL,autoPatch
