run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2017-08-16-3,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-4,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-5,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-6,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-7,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-8,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-9,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-11,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-12,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-13,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-14,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-15,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-16,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-18,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-19,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-22,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-23,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-24,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-25,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-27,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-28,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-29,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-30,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-31,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-33,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-34,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-35,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-36,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-37,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-38,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-39,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-40,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
