run_name,tomo-align_software,ts-tilt_alignment_software
ycw2017-11-30-1,RAPTOR,RAPTOR
ycw2017-11-30-3,RAPTOR,RAPTOR
ycw2017-11-30-5,RAPTOR,RAPTOR
ycw2017-11-30-6,RAPTOR,RAPTOR
ycw2017-11-30-9,RAPTOR,RAPTOR
ycw2017-11-30-10,RAPTOR,RAPTOR
ycw2017-11-30-11,RAPTOR,RAPTOR
ycw2017-11-30-12,RAPTOR,RAPTOR
ycw2017-11-30-13,RAPTOR,RAPTOR
ycw2017-11-30-14,RAPTOR,RAPTOR
ycw2017-11-30-15,RAPTOR,RAPTOR
ycw2017-11-30-16,RAPTOR,RAPTOR
ycw2017-11-30-17,RAPTOR,RAPTOR
ycw2017-11-30-18,RAPTOR,RAPTOR
ycw2017-11-30-20,RAPTOR,RAPTOR
ycw2017-11-30-21,RAPTOR,RAPTOR
ycw2017-11-30-22,RAPTOR,RAPTOR
ycw2017-11-30-23,RAPTOR,RAPTOR
ycw2017-11-30-24,RAPTOR,RAPTOR
ycw2017-11-30-26,RAPTOR,RAPTOR
ycw2017-11-30-27,RAPTOR,RAPTOR
ycw2017-11-30-29,RAPTOR,RAPTOR
ycw2017-11-30-30,RAPTOR,RAPTOR
ycw2017-11-30-31,RAPTOR,RAPTOR
ycw2017-11-30-32,RAPTOR,RAPTOR
ycw2017-11-30-33,RAPTOR,RAPTOR
ycw2017-11-30-19,Batchruntomo,Batchruntomo;Batchruntomo
