run_name,ts-tilt_series_path
mba2010-03-02-1,rawdata/10mar02e_rabbit_ears_002.mrc
mba2010-03-02-2,rawdata/10mar02e_rabbit_ears_021.mrc
mba2010-03-02-3,rawdata/10mar02e_rabbit_ears_019.mrc
mba2010-03-02-4,rawdata/10mar02e_rabbit_ears_004.mrc
mba2010-03-02-5,rawdata/10mar02e_rabbit_ears_012.mrc
mba2010-03-02-6,rawdata/10mar02e_rabbit_ears_018.mrc
mba2010-03-02-7,rawdata/10mar02e_rabbit_ears_016.mrc
mba2010-03-02-8,rawdata/10mar02e_rabbit_ears_017.mrc
mba2010-03-02-9,rawdata/10mar02e_rabbit_ears_024.mrc
mba2010-03-02-10,rawdata/10mar02e_rabbit_ears_023.mrc
mba2010-03-02-11,rawdata/10mar02e_rabbit_ears_022.mrc
