run_name,tomo-voxel_spacing
mba2012-01-13-1,15.6
mba2012-01-13-2,15.6
mba2012-01-13-3,15.6
mba2012-01-13-33,15.6
mba2012-01-13-4,7.8
mba2012-01-13-5,7.8
mba2012-01-13-6,7.8
mba2012-01-13-7,7.8
mba2012-01-13-8,7.8
mba2012-01-13-9,7.8
mba2012-01-13-10,7.8
mba2012-01-13-11,7.8
mba2012-01-13-12,7.8
mba2012-01-13-13,7.8
mba2012-01-13-14,7.8
mba2012-01-13-15,7.8
mba2012-01-13-16,7.8
mba2012-01-13-17,7.8
mba2012-01-13-18,7.8
mba2012-01-13-19,7.8
mba2012-01-13-20,7.8
mba2012-01-13-21,7.8
mba2012-01-13-22,7.8
mba2012-01-13-23,7.8
mba2012-01-13-24,7.8
mba2012-01-13-25,7.8
mba2012-01-13-26,7.8
mba2012-01-13-27,7.8
mba2012-01-13-28,7.8
mba2012-01-13-29,7.8
mba2012-01-13-30,7.8
mba2012-01-13-31,7.8
mba2012-01-13-32,7.8
