run_name,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-camera-acquire_mode,ts-camera-model,ts-tilt_alignment_software,ts-tilt_range-min,ts-tilt_series_quality
cwl2011-11-12-48,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-49,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-50,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-51,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-52,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-53,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-54,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-55,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-56,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-57,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-58,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-59,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-12-60,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
